GET /api/health                               auth=liveness-проба для Caddy/Docker, без персональных данных rate_limit=-
GET /api/public/config                        auth=guard rate_limit=yes
GET /api/me                                   auth=current_user,touched_user rate_limit=-
GET /api/experiment-assignment                auth=current_user,guard rate_limit=yes
POST /api/experiment-exposure                 auth=current_user,guard rate_limit=yes
GET /api/account/privacy                      auth=current_user,guard rate_limit=yes
GET /api/account/export                       auth=current_user,guard rate_limit=yes
POST /api/account/delete                      auth=deletion_user,guard rate_limit=yes
PATCH /api/profile                            auth=current_user,guard rate_limit=yes
POST /api/profile                             auth=current_user,guard rate_limit=yes
GET /api/personas                             auth=публичный список образов, без пользовательских данных rate_limit=-
GET /api/referral                             auth=confirmed_age_user,current_user rate_limit=-
GET /api/memories                             auth=confirmed_age_user,current_user rate_limit=-
POST /api/memories                            auth=confirmed_age_user,current_user,guard rate_limit=yes
DELETE /api/memories/{memory_id}              auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/faq                                  auth=публичный контент FAQ, без пользовательских данных rate_limit=-
GET /api/today                                auth=active_user,confirmed_age_user,current_user,guard rate_limit=yes
GET /api/moon/week                            auth=confirmed_age_user,current_user rate_limit=-
GET /api/sky                                  auth=confirmed_age_user,current_user rate_limit=-
GET /api/horoscope                            auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/horoscope/all                        auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/agents                               auth=confirmed_age_user,current_user rate_limit=-
GET /api/chat                                 auth=confirmed_age_user,current_user rate_limit=-
GET /api/chat/{agent}                         auth=confirmed_age_user,current_user rate_limit=-
POST /api/chat/{agent}                        auth=confirmed_age_user,current_user,guard rate_limit=yes
POST /api/ask                                 auth=confirmed_age_user,current_user,guard rate_limit=yes
DELETE /api/chat/{agent}                      auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/chat/{agent}/sessions                auth=confirmed_age_user,current_user rate_limit=-
POST /api/chat/{agent}/sessions               auth=confirmed_age_user,current_user,guard rate_limit=yes
DELETE /api/chat/{agent}/sessions             auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/chat/{agent}/sessions/{thread_id}    auth=confirmed_age_user,current_user rate_limit=-
POST /api/chat/{agent}/sessions/{thread_id}   auth=confirmed_age_user,current_user,guard rate_limit=yes
DELETE /api/chat/{agent}/sessions/{thread_id} auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/tarot/spreads                        auth=confirmed_age_user,current_user rate_limit=-
GET /api/tarot/spreads/full                   auth=confirmed_age_user,current_user rate_limit=-
POST /api/tarot/draw                          auth=confirmed_age_user,current_user,guard rate_limit=yes
POST /api/tarot/interpret/{reading_id}        auth=confirmed_age_user,current_user,guard rate_limit=yes
GET /api/tarot/history                        auth=confirmed_age_user,current_user rate_limit=-
GET /api/tarot/history/{reading_id}           auth=confirmed_age_user,current_user rate_limit=-
